FFIC;0000923139;FLUSHING FINANCIAL CORP;Flushing Financial Corp
FFIN;0000036029;FIRST FINL BANKSHARES INC;First Financial Bankshares Inc
FFIV;0001048695;F5 NETWORKS INC;F5 Networks Inc
FFKT;0000713095;FARMERS CAPITAL BANK CORP;Farmers Capital Bank Corp
FFNW;0001401564;FIRST FINANCIAL NORTHWEST;First Financial Northwest Inc
FFWM;0001413837;FIRST FOUNDATION INC;First Foundation Inc
FGBI;0001408534;FIRST GUARANTY BANCSHARES IN;First Guaranty Bancshares Inc
FGEN;0000921299;FIBROGEN INC;FibroGen Inc
FHB;0000036377;FIRST HAWAIIAN INC;First Hawaiian Inc
FHN;0000036966;FIRST HORIZON NATIONAL CORP;First Horizon National Corp
FI;0001575828;FRANK'S INTERNATIONAL NV;Frank's International NV
FIBK;0000860413;FIRST INTERSTATE BANCSYS-A;First Interstate BancSystem In
FICO;0000814547;FAIR ISAAC CORP;Fair Isaac Corp
FII;0001056288;FEDERATED INVESTORS INC-CL B;Federated Investors Inc
FINL;0000886137;FINISH LINE/THE - CL A;Finish Line Inc/The
FIS;0001136893;FIDELITY NATIONAL INFO SERV;Fidelity National Information
FISI;0000862831;FINANCIAL INSTITUTIONS INC;Financial Institutions Inc
FISV;0000798354;FISERV INC;Fiserv Inc
FIT;0001447599;FITBIT INC - A;Fitbit Inc
FITB;0000035527;FIFTH THIRD BANCORP;Fifth Third Bancorp
FIVE;0001177609;FIVE BELOW;Five Below Inc
FIVN;0001288847;FIVE9 INC;Five9 Inc
FIX;0001035983;COMFORT SYSTEMS USA INC;Comfort Systems USA Inc
FIZZ;0000069891;NATIONAL BEVERAGE CORP;National Beverage Corp
FL;0000850209;FOOT LOCKER INC;Foot Locker Inc
FLDM;0001162194;FLUIDIGM CORP;Fluidigm Corp
FLIC;0000740663;FIRST OF LONG ISLAND CORP;First of Long Island Corp/The
FLIR;0000354908;FLIR SYSTEMS INC;FLIR Systems Inc
FLNT;0001460329;FLUENT INC;Fluent Inc
FLO;0001128928;FLOWERS FOODS INC;Flowers Foods Inc
FLOW;0001641991;SPX FLOW INC;SPX FLOW Inc
FLR;0001124198;FLUOR CORP;Fluor Corp
FLS;0000030625;FLOWSERVE CORP;Flowserve Corp
FLT;0001175454;FLEETCOR TECHNOLOGIES INC;FleetCor Technologies Inc
