FLXS;0000037472;FLEXSTEEL INDS;Flexsteel Industries Inc
FLYIQ;0000904020;FLYI INC;FLYi Inc
FLYR;0001055455;CWT NAV INC;CWT Nav Inc
FMAO;0000792966;FARMERS & MERCHANTS BANCO/OH;Farmers & Merchants Bancorp In
FMBH;0000700565;FIRST MID-ILLINOIS BNCSHS;First Mid-Illinois Bancshares
FMBI;0000702325;FIRST MIDWEST BANCORP INC/IL;First Midwest Bancorp Inc/IL
FMC;0000037785;FMC CORP;FMC Corp
FMCC;0001026214;FREDDIE MAC;Federal Home Loan Mortgage Cor
FMCO;0000839845;FMS FINANCIAL CORP;FMS Financial Corp
FMD;0001262279;FIRST MARBLEHEAD CORP/THE;First Marblehead Corp/The
FMER;0000354869;FIRSTMERIT CORP;FirstMerit Corp
FMFC;0000320387;FIRST M & F CORP;First M&F Corp
FMI;0001488613;FOUNDATION MEDICINE INC;Foundation Medicine Inc
FMKT;0000949968;FREEMARKETS INC;FreeMarkets Inc
FMNB;0000709337;FARMERS NATL BANC CORP;Farmers National Banc Corp
FMR;0000929186;FIRST MERCURY FINANCIAL CORP;First Mercury Financial Corp
FMSA;0001010858;FAIRMOUNT SANTROL HOLDINGS I;Fairmount Santrol Holdings Inc
FMXLQ;0000912908;FOAMEX INTERNATIONAL INC;Foamex International Inc
FN;0001408710;FABRINET;Fabrinet
FNB;0000037808;FNB CORP;FNB Corp/PA
FNBCQ;0001496631;FIRST NBC BANK HOLDING CO;First NBC Bank Holding Co
FNBG;0001163199;FNB BANCORP;FNB Bancorp/CA
FNCMQ;0000852450;FINET.COM INC;Finet.com Inc
FND;0001507079;FLOOR & DECOR HOLDINGS INC-A;Floor & Decor Holdings Inc
FNFG;0001051741;FIRST NIAGARA FINANCIAL GRP;First Niagara Financial Group
FNFN;0001505823;FRANKLIN FINANCIAL CORP/TN;Franklin Financial Corp/TN
FNGN;0001430592;FINANCIAL ENGINES INC;Financial Engines Inc
FNHC;0001069996;FEDERATED NATIONAL HOLDING C;Federated National Holding Co
FNIN;0000035733;FINANCIAL INDUSTRIES CORP;Financial Industries Corp
FNIS;0000888793;FIDELITY NATL INFO SOLUTIONS;Fidelity National Information
FNLC;0000765207;FIRST BANCORP INC/ME;First Bancorp Inc/ME
FNLYQ;0000878731;FINLAY ENTERPRISES INC;Finlay Enterprises Inc
FNMA;0000310522;FANNIE MAE;Federal National Mortgage Asso
FNSR;0001094739;FINISAR CORPORATION;Finisar Corp
FNVG;0000883701;FINOVA GROUP INC/THE;FINOVA Group Inc/The
FNWB;0001556727;FIRST NORTHWEST BANCORP;First Northwest Bancorp
FOBB;0000717837;FIRST OAK BROOK BANCSHARES;First Oak Brook Bancshares Inc
FOE;0000035214;FERRO CORP;Ferro Corp
FOGO;0001627487;FOGO DE CHAO INC;Fogo De Chao Inc
FOLD;0001178879;AMICUS THERAPEUTICS INC;Amicus Therapeutics Inc
FOM;0000018508;FOREMOST CORP OF AMERICA;Foremost Corp Of America
FOMX;0001606645;FOAMIX PHARMACEUTICALS LTD;Foamix Pharmaceuticals Ltd
FONR;0000355019;FONAR CORP;FONAR Corp
FOOT;0000718903;FOOTHILL INDEPENDENT BANCORP;Foothill Independent Bancorp
FOR;0001406587;FORESTAR GROUP INC;Forestar Group Inc
FORM;0001039399;FORMFACTOR INC;FormFactor Inc
FORR;0001023313;FORRESTER RESEARCH INC;Forrester Research Inc
FOSL;0000883569;FOSSIL GROUP INC;Fossil Group Inc
FOX;0001308161;TWENTY-FIRST CENTURY FOX - B;Twenty-First Century Fox Inc
FOXA;0001308161;TWENTY-FIRST CENTURY FOX-A;Twenty-First Century Fox Inc
FOXF;0001424929;FOX FACTORY HOLDING CORP;Fox Factory Holding Corp
FOXH;0001217688;FOXHOLLOW TECHNOLOGIES INC;FoxHollow Technologies Inc
FPC;0000357261;FLORIDA PROGRESS CORP;Florida Progress Corp
FPFCQ;0001068912;FIRST PLACE FINANCIAL /OHIO;First Place Financial Corp/OH
FPI;0001591670;FARMLAND PARTNERS INC;Farmland Partners Inc
FPIC;0001010247;FPIC INSURANCE GROUP INC;FPIC Insurance Group Inc
FPO;0001254595;FIRST POTOMAC REALTY TRUST;First Potomac Realty Trust
FPRX;0001175505;FIVE PRIME THERAPEUTICS INC;Five Prime Therapeutics Inc
FPU;0000037643;FLORIDA PUBLIC UTILITIES CO;Florida Public Utilities Co
FR;0000921825;FIRST INDUSTRIAL REALTY TR;First Industrial Realty Trust
FRAC;0001688476;KEANE GROUP INC;Keane Group Inc
FRAN;0001399935;FRANCESCAS HOLDINGS CORP;Francesca's Holdings Corp
FRBK;0000834285;REPUBLIC FIRST BANCORP INC;Republic First Bancorp Inc
FRC;0001132979;FIRST REPUBLIC BANK/CA;First Republic Bank/CA
FRCMQ;0001062613;FAIRPOINT COMMUNICATIONS INC;FairPoint Communications Inc/O
FRDMQ;0000911004;FRIEDMAN'S INC-CL A;Friedman's Inc
FRED;0000724571;FRED'S INC-CLASS A;Fred's Inc
FRF;0001495925;FORTEGRA FINANCIAL CORP;Fortegra Financial Corp
FRGBQ;0000356708;FIRST REGIONAL BANCORP/CAL;First Regional Bancorp/Los Ang
FRGI;0001534992;FIESTA RESTAURANT GROUP;Fiesta Restaurant Group Inc
FRGO;0001098834;FARGO ELECTRONICS;Fargo Electronics Inc
FRHC;0000924805;FREEDOM HOLDING CORP/NV;Freedom Holding Corp/NV
FRK;0000037651;FLORIDA ROCK INDS;Florida Rock Industries Inc
FRM;0000054441;FURMANITE CORP;Furmanite Corp
FRME;0000712534;FIRST MERCHANTS CORP;First Merchants Corp
FRNK;0001505823;FRANKLIN FINANCIAL CORP/VA;Franklin Financial Corp/VA
FRNTQ;0001351548;FRONTIER AIRLINES HOLDINGS I;Frontier Airlines Holdings Inc
FRO;0000913290;FRONTLINE LTD;Frontline Ltd/Bermuda
FRP;0001062613;FAIRPOINT COMMUNICATIONS INC;FairPoint Communications Inc
FRPH;0000844059;FRP HOLDINGS INC;FRP Holdings Inc
FRPT;0001611647;FRESHPET INC;Freshpet Inc
FRS;0000039047;FRISCH'S RESTAURANTS INC;Frisch's Restaurants Inc
FRSH;0001592379;PAPA MURPHY'S HOLDINGS INC;Papa Murphy's Holdings Inc
FRT;0000034903;FEDERAL REALTY INVS TRUST;Federal Realty Investment Trus
FRTA;0001678463;FORTERRA INC;Forterra Inc
FRTZ;0000890662;FRITZ COMPANIES INC;Fritz Cos Inc
FRW;0000926861;FIRST WASHINGTON REALTY TRUS;First Washington Realty Trust
FRX;0000038074;FOREST LABORATORIES INC;Forest Laboratories Inc
FSAM;0001611988;FIFTH STREET ASSET MANAGEMEN;Fifth Street Asset Management
FSB;0001407067;FRANKLIN FINANCIAL NETWORK;Franklin Financial Network Inc
FSBK;0001027183;FIRST SOUTH BANCORP INC /NC;First South Bancorp Inc/Washin
FSCI;0001034669;SINCLAIR TELEVISION OF SEATT;Sinclair Television of Seattle
FSCO;0000312367;FIRST SECURITY CORP/DEL;First Security Corp
FSGI;0001138817;FIRST SECURITY GROUP INC/TN;First Security Group Inc/TN
FSH;0000880430;FISHER SCIENTIFIC INTERNATIO;Fisher Scientific Internationa
FSII;0000841692;FSI INTL INC;FSI International Inc
FSIN;0000710846;FUSHI COPPERWELD INC;Fushi Copperweld Inc
FSL;0001392522;FREESCALE SEMICONDUCTOR LTD;Freescale Semiconductor Ltd
FSL/B;0001272547;FREESCALE SEMICONDUCTOR-B;NXP USA Inc
FSLA;0001051092;FIRST SENTINEL BANCORP INC;First Sentinel Bancorp Inc
FSLR;0001274494;FIRST SOLAR INC;First Solar Inc
FSNMQ;0000897861;FIRST STATE BANCORPORATION;First State Bancorporation/NM
FSP;0001031316;FRANKLIN STREET PROPERTIES C;Franklin Street Properties Cor
FSR;0001347815;FLAGSTONE REINSURANCE HOLDIN;Flagstone Reinsurance Holdings
FSS;0000277509;FEDERAL SIGNAL CORP;Federal Signal Corp
FSTR;0000352825;FOSTER (LB) CO-A;LB Foster Co
FSYS;0001340786;FUEL SYSTEMS SOLUTIONS INC;Fuel Systems Solutions Inc
FTBK;0000716457;FRONTIER FINANCIAL CORP;Frontier Financial Corp
FTD;0001575360;FTD COS INC;FTD Cos Inc
FTDI;0000944537;FTD INC;FTD Inc
FTEK;0000846913;FUEL TECH INC;Fuel Tech Inc
FTERQ;0000797496;FRONTIER INSURANCE GROUP INC;Frontier Insurance Group Inc
FTFC;0000851207;FIRST FEDERAL CAPITAL CORP;First Federal Capital Corp
FTGX;0001001868;FIBERNET TELECOM GROUP INC;Fibernet Telecom Group Inc
FTI;0001681459;TECHNIPFMC PLC;TechnipFMC PLC
FTK;0000928054;FLOTEK INDUSTRIES INC;Flotek Industries Inc
FTNT;0001262039;FORTINET INC;Fortinet Inc
FTO;0000110430;FRONTIER OIL CORP;Frontier Oil Corp
FTR;0000020520;FRONTIER COMMUNICATIONS CORP;Frontier Communications Corp
FTRLQ;0001061399;FUTURELINK CORPORATION;FutureLink Corp
FTSTQ;0001011308;FOOTSTAR INC/OLD;Footstar Inc/Old
FTUSQ;0000813775;FACTORY 2-U STORES INC;Factory 2-U Stores Inc
FTV;0001659166;FORTIVE CORP;Fortive Corp
FTWRQ;0001010286;FIBERTOWER CORP;FiberTower Corp
FUBC;0001415277;1ST UNITED BANCORP INC/NORTH;1st United Bancorp Inc/Boca Ra
FUEL;0001477200;ROCKET FUEL INC;Rocket Fuel Inc
FUL;0000039368;H.B. FULLER CO.;HB Fuller Co
FULT;0000700564;FULTON FINANCIAL CORP;Fulton Financial Corp
FUNC;0000763907;FIRST UNITED CORP;First United Corp
FUQI;0001382696;FUQI INTERNATIONAL INC;Fuqi International Inc
FUR;0000037008;WINTHROP REALTY TRUST;Winthrop Realty Trust
FURX;0001484478;FURIEX PHARMACEUTICALS LLC;Furiex Pharmaceuticals LLC
FUSB;0000717806;FIRST US BANCSHARES INC;First US Bancshares Inc
FVB;0000037032;FIRST VIRGINIA BANKS INC;First Virginia Banks Inc
FVE;0001159281;FIVE STAR SENIOR LIVING INC;Five Star Senior Living Inc
FWLT;0001130385;FOSTER WHEELER AG;Foster Wheeler AG
FWMHQ;0001555492;FAIRWAY GROUP HOLDINGS CORP;Fairway Group Holdings Corp
FWRD;0000912728;FORWARD AIR CORP;Forward Air Corp
FXAI;0001529979;FX ALLIANCE INC;FX Alliance Inc
FXCB;0001485176;FOX CHASE BANCORP INC;Fox Chase Bancorp Inc
FXEN;0000907649;FX ENERGY INC;FX Energy Inc
G;0001398659;GENPACT LTD;Genpact Ltd
GABC;0000714395;GERMAN AMERICAN BANCORP;German American Bancorp Inc
GAIA;0001089872;GAIA INC;Gaia Inc
GAIN;0001321741;GLADSTONE INVESTMENT CORP;Gladstone Investment Corp
GALE;0001390478;GALENA BIOPHARMA INC;Galena Biopharma Inc
GALT;0001133416;GALECTIN THERAPEUTICS INC;Galectin Therapeutics Inc
GAPTQ;0000043300;GREAT ATLANTIC & PAC TEA CO;Great Atlantic & Pacific Tea C
GARS;0001509892;GARRISON CAPITAL INC;Garrison Capital Inc
GAS;0001004155;SOUTHERN CO GAS;Southern Co Gas
GATX;0000040211;GATX CORP;GATX Corp
GBBK;0000775473;GREATER BAY BANCORP;Greater Bay Bancorp
GBCB;0000351710;GBC BANCORP/CALIFORNIA;GBC Bancorp
GBCI;0000868671;GLACIER BANCORP INC;Glacier Bancorp Inc
GBDC;0001476765;GOLUB CAPITAL BDC INC;Golub Capital BDC Inc
GBIXQ;0001003111;GLOBIX CORP-OLD;Globix Corp/Old
GBL;0001060349;GAMCO INVESTORS INC-A;GAMCO Investors Inc
GBLI;0001494904;GLOBAL INDEMNITY LTD;Global Indemnity Ltd
GBND;0000040461;GENERAL BINDING LLC;General Binding LLC
GBNK;0001324410;GUARANTY BANCORP;Guaranty Bancorp
GBP;0000913782;LION GABLES REALTY LP;Lion Gables Realty LP
GBT;0001629137;GLOBAL BLOOD THERAPEUTICS IN;Global Blood Therapeutics Inc
GBTB;0001061068;GB&T BANCSHARES INC;GB&T Bancshares Inc
GBX;0000923120;GREENBRIER COMPANIES INC;Greenbrier Cos Inc/The
GCAP;0001444363;GAIN CAPITAL HOLDINGS INC;GAIN Capital Holdings Inc
GCBC;0001070524;GREENE COUNTY BANCORP INC;Greene County Bancorp Inc
GCCXQ;0000912295;AMC-GCT INC;AMC-GCT Inc
GCI;0001635718;GANNETT CO INC;Gannett Co Inc
GCO;0000018498;GENESCO INC;Genesco Inc
GCOM;0001031028;GLOBECOMM SYSTEMS INC;Globecomm Systems Inc
GCOR;0001113099;GENENCOR INTERNATIONAL INC;Genencor International Inc
GCP;0001644440;GCP APPLIED TECHNOLOGIES;GCP Applied Technologies Inc
GCT;0001293200;GMH COMMUNITIES TRUST;GMH Communities Trust
GD;0000040533;GENERAL DYNAMICS CORP;General Dynamics Corp
GDDY;0001609711;GODADDY INC - CLASS A;GoDaddy Inc
GDEN;0001071255;GOLDEN ENTERTAINMENT INC;Golden Entertainment Inc
GDI;0001699150;GARDNER DENVER HOLDINGS INC;Gardner Denver Holdings Inc
GDOT;0001386278;GREEN DOT CORP-CLASS A;Green Dot Corp
GDPMQ;0000943861;GOODRICH PETROLEUM CORP;Goodrich Petroleum Corp
GDRZF;0001072725;GOLD RESERVE INC;Gold Reserve Inc
GDT;0000929987;GUIDANT LLC;Guidant LLC
GDW;0000042293;GOLDEN WEST FINANCIAL CORP;Golden West Financial Corp
GE;0000040545;GENERAL ELECTRIC CO;General Electric Co
GEC;0001082506;GREAT ELM CAPITAL GROUP INC;Great Elm Capital Group Inc
GEF;0000043920;GREIF INC-CL A;Greif Inc
GEF/B;0000043920;GREIF INC-CL B;Greif Inc
GEGQQ;0001342709;GLOBAL POWER EQUIPMENT-OLD;Global Power Equipment Group I
GEGSQ;0001311486;GLOBAL GEOPHYSICAL SERVICES;Global Geophysical Services In
GEHL;0000856386;GEHL COMPANY;Manitou Americas Inc
GELX;0001001425;GELTEX PHARMACEUTICALS INC;Geltex Pharmaceuticals Inc
GEN;0001351051;GENESIS HEALTHCARE INC;Genesis Healthcare Inc
GENC;0000064472;GENCOR INDUSTRIES INC;Gencor Industries Inc
GENI;0001071522;GENESISINTERMEDIA INC;GenesisIntermedia Inc
GENR;0000880431;GENAERA CORP;Genaera Corp
GENUQ;0001110794;GENUITY INC-A;Genuity Inc
GENZ;0000732485;GENZYME CORP;Genzyme Corp
GEO;0000923796;GEO GROUP INC/THE;GEO Group Inc/The
GEOI;0000041023;GEORESOURCES INC;GeoResources Inc
GEOKQ;0000314606;GEOKINETICS INC;Geokinetics Inc
GEOS;0001001115;GEOSPACE TECHNOLOGIES CORP;Geospace Technologies Corp
GEOY;0001040570;GEOEYE INC;GeoEye Inc
GERN;0000886744;GERON CORP;Geron Corp
GES;0000912463;GUESS? INC;Guess? Inc
GETI;0001077552;GENTEK INC;GenTek Inc
GEVA;0000911326;SYNAGEVA BIOPHARMA CORP;Synageva BioPharma Corp
GEVO;0001392380;GEVO INC;Gevo Inc
GFDMQ;0000044471;GUILFORD MILLS INC;Guilford Mills Inc/Old
GFF;0000050725;GRIFFON CORP;Griffon Corp
GFGFQ;0001406081;GUARANTY FINANCIAL GROUP;Guaranty Financial Group Inc
